sáb mai 11 02:28:55 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;4;38491;39001;38733;4995
RandomHoHContainsLockFreeList;4;37926;37977;37439;4992
RandomHoHContainsLockFreeList;4;40284;40239;40452;5066
RandomHoHContainsLockFreeList;4;38220;37852;38091;5037
RandomHoHContainsLockFreeList;4;37610;37604;37903;4979
RandomHoHContainsLockFreeList;4;38832;38679;38474;5009
RandomHoHContainsLockFreeList;4;37437;37693;38070;5013
RandomHoHContainsLockFreeList;4;38178;37698;37961;5035
RandomHoHContainsLockFreeList;4;38286;38836;38772;4956
RandomHoHContainsLockFreeList;4;38674;38746;38274;4944
RandomHoHContainsLockFreeList;4;38392;38186;38048;4970
RandomHoHContainsLockFreeList;4;37833;38037;37932;5009
RandomHoHContainsLockFreeList;4;37397;37729;37445;5008
RandomHoHContainsLockFreeList;4;37904;38465;38102;4927
RandomHoHContainsLockFreeList;4;38858;38983;38693;4949
RandomHoHContainsLockFreeList;4;38603;39041;38786;5040
RandomHoHContainsLockFreeList;4;38666;39011;38885;5004
RandomHoHContainsLockFreeList (Mean);4;37654;37700;37686;4912
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;6;0;0;0;0
RandomHoHContainsLockFreeList;6;45948;46127;46163;5008
RandomHoHContainsLockFreeList;6;40382;40173;40303;5031
RandomHoHContainsLockFreeList;6;40061;40016;40099;4952
RandomHoHContainsLockFreeList;6;40602;40925;40667;5067
RandomHoHContainsLockFreeList;6;40052;40423;40260;4936
RandomHoHContainsLockFreeList;6;44625;44504;44577;5024
RandomHoHContainsLockFreeList;6;40562;40453;40657;4928
RandomHoHContainsLockFreeList;6;40491;40198;40353;5012
RandomHoHContainsLockFreeList;6;40269;40404;40312;5038
RandomHoHContainsLockFreeList;6;44103;44174;44521;4913
RandomHoHContainsLockFreeList;6;41288;40940;41052;5016
RandomHoHContainsLockFreeList;6;40117;40547;40371;4935
RandomHoHContainsLockFreeList;6;40726;40651;40444;4900
RandomHoHContainsLockFreeList;6;42673;42352;42561;4956
RandomHoHContainsLockFreeList;6;41968;42102;42222;5057
RandomHoHContainsLockFreeList;6;40632;40704;40201;5098
RandomHoHContainsLockFreeList;6;40192;40570;40751;4961
RandomHoHContainsLockFreeList;6;41031;41133;40671;5011
RandomHoHContainsLockFreeList;6;44145;43659;43646;5056
RandomHoHContainsLockFreeList;6;40459;40327;40016;4965
RandomHoHContainsLockFreeList;6;40541;40533;40355;4965
RandomHoHContainsLockFreeList;6;40447;40661;40489;5031
RandomHoHContainsLockFreeList;6;44046;43767;43821;5028
RandomHoHContainsLockFreeList;6;40842;40643;41036;5040
RandomHoHContainsLockFreeList;6;40659;40627;40580;5055
RandomHoHContainsLockFreeList;6;40347;40741;40408;5068
RandomHoHContainsLockFreeList;6;41395;41118;40677;5020
RandomHoHContainsLockFreeList;6;43256;43218;43024;5007
RandomHoHContainsLockFreeList;6;40773;40566;40708;4953
RandomHoHContainsLockFreeList;6;40453;40570;40086;4970
RandomHoHContainsLockFreeList;6;40943;41330;40803;5008
RandomHoHContainsLockFreeList;6;44127;44116;44150;4947
RandomHoHContainsLockFreeList;6;40563;40927;40780;4925
RandomHoHContainsLockFreeList;6;40958;40755;41163;5042
RandomHoHContainsLockFreeList;6;40207;40639;40850;5024
RandomHoHContainsLockFreeList;6;43267;43282;43244;4954
RandomHoHContainsLockFreeList;6;41041;40591;41130;5061
RandomHoHContainsLockFreeList;6;40308;40007;40014;5010
RandomHoHContainsLockFreeList;6;40637;41021;40750;4999
RandomHoHContainsLockFreeList;6;40276;40277;40480;5018
RandomHoHContainsLockFreeList;6;44038;44423;44337;4893
RandomHoHContainsLockFreeList;6;41196;41351;41143;5000
RandomHoHContainsLockFreeList;6;40277;40251;39812;4995
RandomHoHContainsLockFreeList;6;40454;40514;40715;4979
RandomHoHContainsLockFreeList;6;43631;43777;43917;4920
RandomHoHContainsLockFreeList;6;40645;40913;40454;5052
RandomHoHContainsLockFreeList;6;40040;40109;40202;4950
RandomHoHContainsLockFreeList;6;39953;39645;39726;5021
RandomHoHContainsLockFreeList;6;42916;42764;42936;5054
RandomHoHContainsLockFreeList;6;41086;40779;41176;4904
RandomHoHContainsLockFreeList;6;40272;40139;40507;5136
RandomHoHContainsLockFreeList;6;39894;39899;40298;4964
RandomHoHContainsLockFreeList;6;40563;40759;40701;5057
RandomHoHContainsLockFreeList;6;43980;43665;43845;4988
RandomHoHContainsLockFreeList;6;40711;40447;40466;4992
RandomHoHContainsLockFreeList;6;40870;40485;40908;5037
RandomHoHContainsLockFreeList;6;39982;40039;40701;5010
RandomHoHContainsLockFreeList;6;44502;44422;43857;5029
RandomHoHContainsLockFreeList;6;41036;41415;40946;4932
RandomHoHContainsLockFreeList (Mean);6;40690;40692;40684;4915
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;8;0;0;0;0
RandomHoHContainsLockFreeList;8;52252;51659;51940;5027
RandomHoHContainsLockFreeList;8;46793;46838;47026;4990
RandomHoHContainsLockFreeList;8;46967;46786;46648;5007
RandomHoHContainsLockFreeList;8;51235;51056;51115;4991
RandomHoHContainsLockFreeList;8;46765;46825;47238;5074
RandomHoHContainsLockFreeList;8;50494;50415;50889;5031
RandomHoHContainsLockFreeList;8;47086;47325;47638;5018
RandomHoHContainsLockFreeList;8;46746;46778;47101;5019
RandomHoHContainsLockFreeList;8;51192;51365;51488;5135
RandomHoHContainsLockFreeList;8;46687;46289;46164;4941
RandomHoHContainsLockFreeList;8;50962;51223;51272;4929
RandomHoHContainsLockFreeList;8;47246;47258;47411;5052
RandomHoHContainsLockFreeList;8;46629;46856;47253;4965
RandomHoHContainsLockFreeList;8;50775;50805;50964;4907
RandomHoHContainsLockFreeList;8;47005;47008;46922;4937
RandomHoHContainsLockFreeList;8;50065;49956;50491;4959
RandomHoHContainsLockFreeList;8;47153;47142;46904;5002
RandomHoHContainsLockFreeList;8;47000;47191;47502;4944
RandomHoHContainsLockFreeList;8;51179;50908;50851;5006
RandomHoHContainsLockFreeList;8;46845;46747;46567;5117
RandomHoHContainsLockFreeList;8;50282;49717;50200;5003
RandomHoHContainsLockFreeList;8;47498;47387;47332;5066
RandomHoHContainsLockFreeList;8;46449;46676;46557;4999
RandomHoHContainsLockFreeList;8;51490;51525;51661;5079
RandomHoHContainsLockFreeList;8;46642;46554;46191;5025
RandomHoHContainsLockFreeList;8;50292;49761;50023;5024
RandomHoHContainsLockFreeList;8;46924;46609;47293;4964
RandomHoHContainsLockFreeList;8;46619;46700;46574;5019
RandomHoHContainsLockFreeList;8;50691;50719;50378;4958
RandomHoHContainsLockFreeList;8;47132;46896;46644;5056
RandomHoHContainsLockFreeList;8;50506;50569;50497;5107
RandomHoHContainsLockFreeList;8;47010;46947;46830;5044
RandomHoHContainsLockFreeList;8;47379;47572;46865;5019
RandomHoHContainsLockFreeList;8;51504;51462;50905;4884
RandomHoHContainsLockFreeList;8;46830;47391;47012;5086
RandomHoHContainsLockFreeList;8;50266;50405;49839;4979
RandomHoHContainsLockFreeList;8;47203;46699;46907;4996
RandomHoHContainsLockFreeList;8;46501;46444;47349;4988
RandomHoHContainsLockFreeList;8;50832;50945;51444;5012
RandomHoHContainsLockFreeList;8;46816;47209;46798;4968
RandomHoHContainsLockFreeList;8;49570;49366;49086;5041
RandomHoHContainsLockFreeList;8;48033;48466;48679;5026
RandomHoHContainsLockFreeList;8;46716;47746;46999;4800
RandomHoHContainsLockFreeList;8;50666;50598;51126;4924
RandomHoHContainsLockFreeList;8;47028;46991;47130;4981
RandomHoHContainsLockFreeList;8;47338;47607;47450;4977
RandomHoHContainsLockFreeList;8;49882;50055;49792;5009
RandomHoHContainsLockFreeList;8;46734;46474;46964;5027
RandomHoHContainsLockFreeList;8;50180;50428;50841;4852
RandomHoHContainsLockFreeList;8;47434;47268;47277;5015
RandomHoHContainsLockFreeList;8;46867;47344;46932;5024
RandomHoHContainsLockFreeList;8;50658;50086;50358;5074
RandomHoHContainsLockFreeList;8;46636;46401;47044;5050
RandomHoHContainsLockFreeList;8;49344;49580;50012;5028
RandomHoHContainsLockFreeList;8;47379;47157;46619;5011
RandomHoHContainsLockFreeList;8;46765;47281;46608;4905
RandomHoHContainsLockFreeList;8;50517;51097;50897;5029
RandomHoHContainsLockFreeList;8;47265;47665;47563;4957
RandomHoHContainsLockFreeList;8;49850;50088;49778;4986
RandomHoHContainsLockFreeList (Mean);8;47646;47671;47697;4917
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;10;0;0;0;0
RandomHoHContainsLockFreeList;10;39334;39445;39425;5032
RandomHoHContainsLockFreeList;10;31334;31400;31566;5013
RandomHoHContainsLockFreeList;10;29944;29821;29942;5081
RandomHoHContainsLockFreeList;10;30292;30748;30723;4907
RandomHoHContainsLockFreeList;10;30685;30485;30473;4988
RandomHoHContainsLockFreeList;10;36608;36672;37024;4958
RandomHoHContainsLockFreeList;10;30806;30918;30591;4986
RandomHoHContainsLockFreeList;10;30354;30432;30114;5053
RandomHoHContainsLockFreeList;10;30164;29840;30300;5001
RandomHoHContainsLockFreeList;10;35675;35941;35744;4980
RandomHoHContainsLockFreeList;10;30497;30920;31040;5056
RandomHoHContainsLockFreeList;10;30072;29764;30642;5028
RandomHoHContainsLockFreeList;10;30152;29871;30085;5077
RandomHoHContainsLockFreeList;10;34475;34257;34083;5019
RandomHoHContainsLockFreeList;10;31945;32421;32161;4990
RandomHoHContainsLockFreeList;10;30279;29987;30329;5013
RandomHoHContainsLockFreeList;10;29856;29866;29784;4940
RandomHoHContainsLockFreeList;10;30743;30990;31098;5017
RandomHoHContainsLockFreeList;10;35292;35020;35133;5023
RandomHoHContainsLockFreeList;10;30542;31018;31069;5017
RandomHoHContainsLockFreeList;10;30440;30506;30774;5033
RandomHoHContainsLockFreeList;10;29858;30074;30102;4974
RandomHoHContainsLockFreeList;10;36147;35884;36266;5052
RandomHoHContainsLockFreeList;10;30582;30658;30435;4978
RandomHoHContainsLockFreeList;10;30452;30343;30189;5037
RandomHoHContainsLockFreeList;10;30527;30931;30132;5055
RandomHoHContainsLockFreeList;10;35478;35299;35229;5063
RandomHoHContainsLockFreeList;10;31245;31419;31082;4980
RandomHoHContainsLockFreeList;10;30509;30229;30535;4995
RandomHoHContainsLockFreeList;10;29998;29885;30041;4955
RandomHoHContainsLockFreeList;10;33407;33334;33103;4971
RandomHoHContainsLockFreeList;10;33902;33728;34074;5050
RandomHoHContainsLockFreeList;10;29961;29834;30040;4982
RandomHoHContainsLockFreeList;10;30254;30015;30002;4971
RandomHoHContainsLockFreeList;10;30371;30243;30168;5039
RandomHoHContainsLockFreeList;10;36238;36044;35946;5051
RandomHoHContainsLockFreeList;10;30520;30237;30392;5043
RandomHoHContainsLockFreeList;10;29964;29554;29727;5047
RandomHoHContainsLockFreeList;10;29788;29309;29734;5057
RandomHoHContainsLockFreeList;10;35255;36284;35764;4965
RandomHoHContainsLockFreeList;10;31076;30957;30715;5020
RandomHoHContainsLockFreeList;10;30025;30398;30605;4939
RandomHoHContainsLockFreeList;10;29967;29887;30093;4973
RandomHoHContainsLockFreeList;10;34080;33924;34102;4981
RandomHoHContainsLockFreeList;10;32167;32276;32283;4930
RandomHoHContainsLockFreeList;10;30769;31464;31090;4955
RandomHoHContainsLockFreeList;10;29914;30040;29888;4987
RandomHoHContainsLockFreeList;10;31792;32017;31859;4928
RandomHoHContainsLockFreeList;10;34716;34889;34919;5024
RandomHoHContainsLockFreeList;10;30112;29995;30207;5041
RandomHoHContainsLockFreeList;10;29988;30221;30339;4968
RandomHoHContainsLockFreeList;10;30397;30153;30395;4964
RandomHoHContainsLockFreeList;10;35713;35918;35766;4932
RandomHoHContainsLockFreeList;10;30924;30886;30964;4985
RandomHoHContainsLockFreeList;10;30068;30220;29864;4919
RandomHoHContainsLockFreeList;10;30608;30760;30484;5002
RandomHoHContainsLockFreeList;10;35793;35863;35854;4985
RandomHoHContainsLockFreeList;10;31185;31110;31339;5047
RandomHoHContainsLockFreeList;10;30375;30237;30254;4949
RandomHoHContainsLockFreeList (Mean);10;31226;31247;31268;4916
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;12;0;0;0;0
RandomHoHContainsLockFreeList;12;38550;38552;38476;5000
RandomHoHContainsLockFreeList;12;30925;31089;30978;4966
RandomHoHContainsLockFreeList;12;30218;29897;30352;5059
RandomHoHContainsLockFreeList;12;30388;30344;30115;5003
RandomHoHContainsLockFreeList;12;34969;34930;34824;5002
RandomHoHContainsLockFreeList;12;30952;31183;31019;5073
RandomHoHContainsLockFreeList;12;30012;30374;30272;4963
RandomHoHContainsLockFreeList;12;30356;30117;30130;4973
RandomHoHContainsLockFreeList;12;34175;34287;34446;5037
RandomHoHContainsLockFreeList;12;31077;31236;31442;4906
RandomHoHContainsLockFreeList;12;30261;30293;30305;5002
RandomHoHContainsLockFreeList;12;30268;30489;30373;4969
RandomHoHContainsLockFreeList;12;35370;35257;35316;4981
RandomHoHContainsLockFreeList;12;31048;31369;31066;5035
RandomHoHContainsLockFreeList;12;30257;30409;30308;5019
RandomHoHContainsLockFreeList;12;30341;30357;30562;5009
RandomHoHContainsLockFreeList;12;35292;35351;34902;4964
RandomHoHContainsLockFreeList;12;30948;30874;30989;5008
RandomHoHContainsLockFreeList;12;30047;29954;30133;5058
RandomHoHContainsLockFreeList;12;29912;29887;29929;5023
RandomHoHContainsLockFreeList;12;35590;36006;36043;4962
RandomHoHContainsLockFreeList;12;31004;31391;30824;4955
RandomHoHContainsLockFreeList;12;29956;29762;30220;5069
RandomHoHContainsLockFreeList;12;30018;29874;29667;5005
RandomHoHContainsLockFreeList;12;35715;35680;35621;4960
RandomHoHContainsLockFreeList;12;30825;30935;31205;4927
RandomHoHContainsLockFreeList;12;30298;30233;29994;5091
RandomHoHContainsLockFreeList;12;30306;30416;30387;4973
RandomHoHContainsLockFreeList;12;35592;35369;35583;5059
RandomHoHContainsLockFreeList;12;30730;30489;30929;5046
RandomHoHContainsLockFreeList;12;30625;30516;30326;4992
RandomHoHContainsLockFreeList;12;30467;30583;30314;5015
RandomHoHContainsLockFreeList;12;35383;35633;35406;5050
RandomHoHContainsLockFreeList;12;30879;31223;31273;4971
RandomHoHContainsLockFreeList;12;30484;30530;30382;4998
RandomHoHContainsLockFreeList;12;29795;29964;30104;4988
RandomHoHContainsLockFreeList;12;35828;35633;35875;5027
RandomHoHContainsLockFreeList;12;30563;30621;31137;4961
RandomHoHContainsLockFreeList;12;29824;29949;29820;5037
RandomHoHContainsLockFreeList;12;30382;30808;30379;5001
RandomHoHContainsLockFreeList;12;35949;36226;35790;5017
RandomHoHContainsLockFreeList;12;30455;30548;30337;4913
RandomHoHContainsLockFreeList;12;30190;30235;30267;5011
RandomHoHContainsLockFreeList;12;30468;29881;30294;5064
RandomHoHContainsLockFreeList;12;35467;35243;35021;5000
RandomHoHContainsLockFreeList;12;30769;30475;30906;4973
RandomHoHContainsLockFreeList;12;30186;29860;30087;5025
RandomHoHContainsLockFreeList;12;30511;30383;30329;5041
RandomHoHContainsLockFreeList;12;35371;35202;35250;5025
RandomHoHContainsLockFreeList;12;30582;30718;30759;4931
RandomHoHContainsLockFreeList;12;30202;30243;29736;5032
RandomHoHContainsLockFreeList;12;30270;30347;30506;4942
RandomHoHContainsLockFreeList;12;35594;35322;35195;4998
RandomHoHContainsLockFreeList;12;30375;30413;30360;4991
RandomHoHContainsLockFreeList;12;30263;30404;30404;5011
RandomHoHContainsLockFreeList;12;30325;30445;30449;4922
RandomHoHContainsLockFreeList;12;35669;35916;36266;5007
RandomHoHContainsLockFreeList;12;30305;29940;30097;4948
RandomHoHContainsLockFreeList;12;30526;30924;30968;5030
RandomHoHContainsLockFreeList (Mean);12;31218;31243;31240;4916
Experiment;Threads;Add;Remove;Contains;Population
RandomHoHContainsLockFreeList;14;0;0;0;0
RandomHoHContainsLockFreeList;14;38751;38573;38516;4914
RandomHoHContainsLockFreeList;14;30497;30369;30548;5016
RandomHoHContainsLockFreeList;14;29544;29250;29413;5029
RandomHoHContainsLockFreeList;14;29315;29471;29451;5017
RandomHoHContainsLockFreeList;14;34127;34061;34506;4999
RandomHoHContainsLockFreeList;14;29499;29682;29619;4952
RandomHoHContainsLockFreeList;14;29620;29494;29592;4929
RandomHoHContainsLockFreeList;14;30615;31364;31183;4848
RandomHoHContainsLockFreeList;14;33121;32939;33268;5085
RandomHoHContainsLockFreeList;14;29571;29466;30144;5046
RandomHoHContainsLockFreeList;14;29130;28943;28723;4952
RandomHoHContainsLockFreeList;14;33163;33146;33346;4988
RandomHoHContainsLockFreeList;14;30782;31056;30994;5006
RandomHoHContainsLockFreeList;14;29634;29318;29693;5006
RandomHoHContainsLockFreeList;14;29345;29339;29562;5031
RandomHoHContainsLockFreeList;14;34101;34306;34107;4969
RandomHoHContainsLockFreeList;14;29982;30100;30092;4947
RandomHoHContainsLockFreeList;14;29797;29781;29729;5084
RandomHoHContainsLockFreeList;14;29461;29383;29564;4967
RandomHoHContainsLockFreeList;14;34832;34983;34475;4990
RandomHoHContainsLockFreeList;14;29809;29623;29749;5009
RandomHoHContainsLockFreeList;14;29646;29652;29458;5009
RandomHoHContainsLockFreeList;14;30039;30440;30310;4914
RandomHoHContainsLockFreeList;14;34261;34527;34385;5089
RandomHoHContainsLockFreeList;14;29263;28986;29076;5055
RandomHoHContainsLockFreeList;14;29476;29560;29567;4954
RandomHoHContainsLockFreeList;14;32692;32637;32883;5036
RandomHoHContainsLockFreeList;14;31225;31444;31244;5040
RandomHoHContainsLockFreeList;14;29550;29942;29682;4907
RandomHoHContainsLockFreeList;14;29461;29504;29262;4946
RandomHoHContainsLockFreeList;14;34072;34085;34326;4975
RandomHoHContainsLockFreeList;14;29928;30252;30056;4879
RandomHoHContainsLockFreeList;14;29563;29064;29403;5050
RandomHoHContainsLockFreeList;14;29540;29537;29381;4974
RandomHoHContainsLockFreeList;14;34541;34595;34463;4967
RandomHoHContainsLockFreeList;14;29645;29637;29609;5029
RandomHoHContainsLockFreeList;14;29494;30029;29879;4932
RandomHoHContainsLockFreeList;14;31740;31624;31851;4999
