qua mai  1 16:21:22 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;9;28627;6845;24320;8561
CoarseList;9;27426;3226;13551;8841
CoarseList;9;13798;14393;29780;5223
CoarseList;9;23568;20116;29632;5280
CoarseList;9;32629;45876;21663;4568
CoarseList;9;28175;25740;17830;4978
CoarseList;9;26514;18687;17981;5700
CoarseList;9;21867;20351;20275;4391
CoarseList;9;22506;14618;21825;5440
CoarseList;9;24076;19907;22978;5883
CoarseList;9;23573;21941;22468;5116
CoarseList;9;23272;18249;19505;5251
CoarseList;9;22298;22308;25412;4951
CoarseList;9;24091;18372;20593;5341
CoarseList;9;23552;17857;18138;5222
CoarseList;9;23943;23970;23535;5166
CoarseList;9;29992;23869;19682;6403
CoarseList;9;23324;15672;14259;5621
CoarseList (Mean);9;25008;15243;17298;6184
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;12;0;0;0;0
CoarseList;12;33626;31144;31884;5349
CoarseList;12;24485;18716;25759;6249
CoarseList;12;24840;18308;21872;6168
CoarseList;12;22158;24779;23393;4427
CoarseList;12;24789;21153;24904;5158
CoarseList;12;27834;25625;22155;5928
CoarseList;12;20976;29715;32181;3748
CoarseList;12;26943;29690;32914;4963
CoarseList;12;25200;29692;29078;4706
CoarseList;12;25576;20818;25584;5973
CoarseList;12;23477;19117;23997;5683
CoarseList;12;26317;22492;22017;6219
CoarseList;12;23786;22891;22126;5397
CoarseList;12;33317;25991;25277;6073
CoarseList;12;26952;27131;39718;5737
CoarseList;12;18632;18709;36788;4912
CoarseList;12;22372;21740;26580;4423
CoarseList;12;27002;31810;32015;5014
CoarseList;12;28344;15346;26537;7091
CoarseList;12;29640;25228;27356;4588
CoarseList;12;25248;18275;26351;5399
CoarseList;12;23362;18675;29764;5183
CoarseList;12;32506;18403;14080;7196
CoarseList;12;27374;18293;31335;7382
CoarseList;12;23694;16348;16762;5915
CoarseList;12;25370;20806;30482;6016
CoarseList;12;22066;32018;40005;4367
CoarseList;12;28362;33800;28549;4757
CoarseList;12;25550;34318;34035;4643
CoarseList;12;26138;16768;29125;6692
CoarseList;12;20615;18883;20501;4219
CoarseList;12;28097;18677;17511;5719
CoarseList;12;27226;20762;22641;6293
CoarseList;12;22429;20895;22745;5574
CoarseList;12;24493;17707;16969;5685
CoarseList;12;25951;19583;17912;5826
CoarseList;12;27535;22374;19455;5261
CoarseList;12;25491;22436;20387;4762
CoarseList;12;25042;20574;20437;4590
CoarseList;12;27087;30876;30538;4848
CoarseList;12;30622;15835;14618;6969
CoarseList;12;24892;16402;16035;6235
CoarseList;12;26662;18380;15591;6611
CoarseList;12;23634;18154;18506;5912
CoarseList;12;27157;20155;22982;6778
CoarseList;12;23914;16428;16703;5967
CoarseList;12;27535;23444;15994;5702
CoarseList;12;25710;22302;22031;5853
CoarseList;12;25322;28422;27189;5558
CoarseList;12;31488;19823;14432;6938
CoarseList;12;25271;16476;15180;6683
CoarseList;12;23454;20150;17701;5164
CoarseList;12;25750;24130;24161;5202
CoarseList;12;24823;18324;19168;5414
CoarseList;12;25713;22961;24213;5945
CoarseList (Mean);12;25390;21820;23682;5519
Experiment;Threads;Add;Remove;Contains;Population
CoarseList;15;0;0;0;0
CoarseList;15;32903;26171;30792;5707
CoarseList;15;25082;19892;17709;5384
