qua mai 22 01:13:45 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;6;52248;52518;52066;4933
RandomLockFreeList;6;52381;52391;52444;5077
RandomLockFreeList;6;52628;52619;52216;5054
RandomLockFreeList;6;53296;53673;52875;5029
RandomLockFreeList;6;52907;52761;53135;4939
RandomLockFreeList;6;53276;53418;52988;4913
RandomLockFreeList;6;58958;58785;58585;5019
RandomLockFreeList;6;52713;52856;53498;5073
RandomLockFreeList;6;52580;52457;53120;5077
RandomLockFreeList;6;52601;52402;52813;4924
RandomLockFreeList;6;53321;53318;53145;5081
RandomLockFreeList;6;53458;53493;53009;5056
RandomLockFreeList;6;53123;53202;52726;4924
RandomLockFreeList;6;52941;53132;52942;4994
RandomLockFreeList;6;52981;53564;53346;4866
RandomLockFreeList;6;53051;52713;52539;5004
RandomLockFreeList;6;52633;52746;52943;4983
RandomLockFreeList;6;58108;58596;57933;4973
RandomLockFreeList;6;53356;53428;53599;5022
RandomLockFreeList;6;53146;52597;52656;5016
RandomLockFreeList;6;52898;52649;53139;5065
RandomLockFreeList;6;52846;52886;52930;4979
RandomLockFreeList;6;52851;52377;52806;5043
RandomLockFreeList;6;52765;52571;53168;4964
RandomLockFreeList;6;52574;52345;52454;4933
RandomLockFreeList;6;52206;52173;51871;5013
RandomLockFreeList;6;52098;51948;52372;5032
RandomLockFreeList;6;51812;52233;52119;5033
RandomLockFreeList;6;58740;58866;58332;4975
RandomLockFreeList;6;52908;52440;52166;5073
RandomLockFreeList;6;52078;51885;52102;4980
RandomLockFreeList;6;52297;52994;52338;4977
RandomLockFreeList;6;52335;51978;52366;4992
RandomLockFreeList;6;52304;52717;52511;4918
RandomLockFreeList;6;52107;52229;51851;4990
RandomLockFreeList;6;52384;52074;52117;4992
RandomLockFreeList;6;51880;51544;52151;5069
RandomLockFreeList;6;52376;52622;52739;4931
RandomLockFreeList;6;52530;53373;53341;5053
RandomLockFreeList;6;59023;58618;59032;5003
RandomLockFreeList;6;52630;52313;52460;5044
RandomLockFreeList;6;52562;52160;52792;5060
RandomLockFreeList;6;52121;51549;52131;5035
RandomLockFreeList;6;52435;52852;51793;4976
RandomLockFreeList;6;52608;52347;52427;5019
RandomLockFreeList;6;52646;52456;52712;5025
RandomLockFreeList;6;51984;51624;51977;4997
RandomLockFreeList;6;52199;51998;52273;4964
RandomLockFreeList;6;52293;52577;52671;4949
RandomLockFreeList;6;58696;58959;58594;4992
RandomLockFreeList;6;52663;53146;52976;4916
RandomLockFreeList;6;52778;52457;52851;5046
RandomLockFreeList;6;52374;52476;52315;5025
RandomLockFreeList (Mean);6;52416;52378;52391;4915
Experiment;Threads;Add;Remove;Contains;Population
RandomLockFreeList;8;0;0;0;0
RandomLockFreeList;8;73715;74468;74647;4954
RandomLockFreeList;8;65586;65461;65145;4982
RandomLockFreeList;8;65204;65520;65290;4976
RandomLockFreeList;8;65853;65652;65418;4889
RandomLockFreeList;8;65050;64524;64559;5114
RandomLockFreeList;8;64900;64981;64695;5055
RandomLockFreeList;8;65103;65012;65495;5060
RandomLockFreeList;8;62896;63056;63340;4977
RandomLockFreeList;8;71880;71515;72215;5027
RandomLockFreeList;8;65788;65329;65772;4990
RandomLockFreeList;8;65594;65738;65137;5043
RandomLockFreeList;8;65665;65920;66148;4983
