sáb mai 11 03:08:59 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;6;50659;50866;50859;4972
RandomOptimisticList;6;51200;51039;51196;5047
RandomOptimisticList;6;50875;50790;50775;5047
RandomOptimisticList;6;51081;51077;51312;5013
RandomOptimisticList;6;51474;51522;51334;5054
RandomOptimisticList;6;51108;51448;51981;5041
RandomOptimisticList;6;51507;51997;51811;4938
RandomOptimisticList;6;50893;50834;51010;5019
RandomOptimisticList;6;50532;50717;51090;4986
RandomOptimisticList;6;51051;50855;51263;5006
RandomOptimisticList;6;50526;50481;50907;4975
RandomOptimisticList;6;55396;55500;55090;4964
RandomOptimisticList;6;52325;52166;52078;5030
RandomOptimisticList;6;51153;50970;51094;4964
RandomOptimisticList;6;50802;50336;50793;5045
RandomOptimisticList;6;50488;50537;50673;5005
RandomOptimisticList;6;51349;51481;51336;5013
RandomOptimisticList;6;50951;51195;50900;4951
RandomOptimisticList;6;51406;51372;51150;5055
RandomOptimisticList;6;50887;51143;50834;4947
RandomOptimisticList;6;51264;51053;51300;5020
RandomOptimisticList;6;50563;50609;50721;4983
RandomOptimisticList;6;51364;51729;51451;4985
RandomOptimisticList;6;51207;51181;50814;4970
RandomOptimisticList;6;51247;51163;50590;5047
RandomOptimisticList;6;50893;50880;50842;4985
RandomOptimisticList;6;51193;51484;51009;5030
RandomOptimisticList;6;51240;51521;51823;4916
RandomOptimisticList;6;57800;58834;58782;4961
RandomOptimisticList;6;52107;52169;51741;5045
RandomOptimisticList;6;51405;51122;51654;4974
RandomOptimisticList;6;51968;52382;51728;4958
RandomOptimisticList;6;51967;51806;52090;5062
RandomOptimisticList;6;52372;53000;52463;5038
RandomOptimisticList;6;51888;52099;52576;5073
RandomOptimisticList;6;51857;51816;51934;5040
RandomOptimisticList;6;52567;52746;52556;4991
RandomOptimisticList;6;52643;52477;52400;4941
RandomOptimisticList;6;52858;51890;52069;5043
RandomOptimisticList;6;52323;52266;52314;5015
RandomOptimisticList;6;52590;52527;52643;5065
RandomOptimisticList;6;52217;51910;52395;5016
RandomOptimisticList;6;52528;52414;52692;4884
RandomOptimisticList;6;52189;52221;52611;5002
RandomOptimisticList;6;59005;59040;58544;5072
RandomOptimisticList;6;52893;52909;52841;5044
RandomOptimisticList;6;52999;52513;52845;5029
RandomOptimisticList;6;52540;52275;52823;5008
RandomOptimisticList;6;52684;52968;52451;5020
RandomOptimisticList;6;53389;53092;53478;4958
RandomOptimisticList;6;52418;52734;53221;4966
RandomOptimisticList;6;53193;53323;52868;4985
RandomOptimisticList;6;52561;51577;52176;5021
RandomOptimisticList (Mean);6;51206;51216;51261;4919
Experiment;Threads;Add;Remove;Contains;Population
RandomOptimisticList;8;0;0;0;0
RandomOptimisticList;8;63640;63152;63520;4926
RandomOptimisticList;8;71460;71675;70815;5024
RandomOptimisticList;8;65299;65660;65550;4918
RandomOptimisticList;8;65868;65574;65967;5046
