qua mai  1 22:05:09 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
HoHContainsLockFreeList;6;28858;28802;76033;5073
HoHContainsLockFreeList;6;24213;23580;76357;5091
HoHContainsLockFreeList;6;29820;32129;74353;4870
HoHContainsLockFreeList;6;33311;33389;92593;4964
HoHContainsLockFreeList;6;31727;32783;77301;4977
HoHContainsLockFreeList (Mean);6;29460;29275;78033;4939
Experiment;Threads;Add;Remove;Contains;Population
HoHContainsLockFreeList;9;0;0;0;1
HoHContainsLockFreeList;9;24865;24981;323471;4929
HoHContainsLockFreeList;9;25717;26052;152958;4929
HoHContainsLockFreeList;9;25134;25349;113266;5003
HoHContainsLockFreeList;9;25513;25794;109821;4996
HoHContainsLockFreeList;9;24231;24327;114851;5005
HoHContainsLockFreeList;9;26345;26341;117577;5005
HoHContainsLockFreeList;9;26057;26219;124388;5002
HoHContainsLockFreeList;9;27559;27669;134790;5009
HoHContainsLockFreeList;9;26419;26627;122423;5019
HoHContainsLockFreeList;9;25365;25518;123132;4983
HoHContainsLockFreeList;9;25368;25737;124605;4945
HoHContainsLockFreeList;9;27017;27191;124119;5026
HoHContainsLockFreeList;9;26475;27170;121265;4893
HoHContainsLockFreeList;9;25634;25893;122874;5012
HoHContainsLockFreeList;9;28210;28330;158730;5051
HoHContainsLockFreeList;9;26263;26365;123196;4974
HoHContainsLockFreeList;9;25620;25463;119537;5018
HoHContainsLockFreeList;9;26125;26459;119789;4995
HoHContainsLockFreeList;9;25864;25998;119608;4963
HoHContainsLockFreeList;9;25320;25606;120579;4980
HoHContainsLockFreeList;9;26203;25922;119859;4966
HoHContainsLockFreeList;9;28294;27860;151206;5076
HoHContainsLockFreeList;9;26541;26816;126981;4965
HoHContainsLockFreeList;9;26093;25980;121561;5030
HoHContainsLockFreeList;9;25313;25126;120569;5029
HoHContainsLockFreeList;9;26044;25959;119262;4970
HoHContainsLockFreeList;9;26110;26099;121966;5024
HoHContainsLockFreeList;9;25923;26343;123040;4944
HoHContainsLockFreeList;9;27761;28029;143172;4955
HoHContainsLockFreeList;9;26855;26607;135069;4959
HoHContainsLockFreeList;9;25964;25704;120056;5103
HoHContainsLockFreeList;9;25648;25601;120233;4911
HoHContainsLockFreeList;9;25832;25978;121219;4970
HoHContainsLockFreeList;9;26121;25979;119731;5024
HoHContainsLockFreeList;9;25934;26336;124741;4865
HoHContainsLockFreeList;9;26067;25894;121440;5062
HoHContainsLockFreeList;9;28603;28637;153051;5005
HoHContainsLockFreeList;9;26152;26226;122849;4979
HoHContainsLockFreeList;9;26636;26993;123077;4891
HoHContainsLockFreeList;9;25718;26036;123810;4942
HoHContainsLockFreeList;9;24919;25261;123354;4979
HoHContainsLockFreeList;9;26263;26265;122954;4994
HoHContainsLockFreeList;9;25989;25874;119086;5056
HoHContainsLockFreeList;9;28616;28705;153820;5056
HoHContainsLockFreeList;9;23298;23370;111570;5003
HoHContainsLockFreeList;9;25168;25251;113672;5033
HoHContainsLockFreeList;9;25698;25936;121534;5051
HoHContainsLockFreeList;9;26169;26443;121974;4969
HoHContainsLockFreeList;9;26355;26331;123737;4957
HoHContainsLockFreeList;9;27468;27356;150293;4993
HoHContainsLockFreeList;9;26478;26858;129220;4964
HoHContainsLockFreeList;9;25680;25769;122110;5032
HoHContainsLockFreeList;9;26073;25931;118998;5042
HoHContainsLockFreeList;9;26160;25998;119225;5058
HoHContainsLockFreeList;9;25774;25894;121794;4980
HoHContainsLockFreeList;9;25877;26027;122613;4897
HoHContainsLockFreeList;9;26244;26167;122071;5019
HoHContainsLockFreeList;9;29596;30041;156883;5015
HoHContainsLockFreeList;9;26078;26034;121145;5039
