sáb mai 11 01:48:33 -03 2019
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;6;20027;19522;19753;5068
RandomCoarseList;6;20833;20739;20978;4982
RandomCoarseList;6;19963;19867;20079;5065
RandomCoarseList;6;20527;20600;20533;5039
RandomCoarseList;6;20853;20827;20849;5050
RandomCoarseList;6;21013;20897;21136;4992
RandomCoarseList;6;20934;21190;21204;4930
RandomCoarseList;6;19820;19695;19794;5024
RandomCoarseList;6;19598;19646;19748;5018
RandomCoarseList;6;20276;20433;20159;4958
RandomCoarseList;6;20754;20362;20699;4988
RandomCoarseList;6;21445;21349;21261;4955
RandomCoarseList;6;20312;20448;20530;5007
RandomCoarseList;6;20964;20948;20945;5043
RandomCoarseList;6;19889;20223;20115;5017
RandomCoarseList;6;20888;21145;21295;5021
RandomCoarseList;6;20518;20283;20281;5087
RandomCoarseList;6;20620;20383;20522;5103
RandomCoarseList;6;21117;21339;20829;5019
RandomCoarseList;6;20679;20660;21071;4984
RandomCoarseList;6;20719;20577;20561;5067
RandomCoarseList;6;20557;20469;20610;4980
RandomCoarseList;6;21054;20844;20524;5058
RandomCoarseList;6;20355;20505;20189;4982
RandomCoarseList;6;20388;20738;20528;4941
RandomCoarseList;6;20772;20985;20530;4953
RandomCoarseList;6;21610;21417;21566;5024
RandomCoarseList;6;19732;19674;19635;4873
RandomCoarseList;6;20190;20263;19943;4995
RandomCoarseList;6;21188;21712;21361;4925
RandomCoarseList;6;20822;20898;20940;4949
RandomCoarseList;6;20328;20279;20140;4989
RandomCoarseList;6;19704;19975;19801;5076
RandomCoarseList;6;20124;20043;19965;4979
RandomCoarseList;6;20982;21082;20915;5015
RandomCoarseList;6;20363;20597;20753;4975
RandomCoarseList;6;20570;20802;20387;4954
RandomCoarseList;6;20657;20858;20909;4970
RandomCoarseList;6;20495;20342;20278;4985
RandomCoarseList;6;27727;27867;27911;5011
RandomCoarseList;6;22404;22500;22048;5032
RandomCoarseList;6;21894;22422;22005;4956
RandomCoarseList;6;21301;21710;21538;4960
RandomCoarseList;6;20792;20657;20571;4974
RandomCoarseList;6;20323;20555;20831;4922
RandomCoarseList (Mean);6;20623;20669;20645;4913
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;8;0;0;0;0
RandomCoarseList;8;25778;25969;25864;4897
RandomCoarseList;8;19083;18920;18860;5078
RandomCoarseList;8;18642;18707;18594;5031
RandomCoarseList;8;19713;19798;19965;4982
RandomCoarseList;8;24141;24491;24471;4940
RandomCoarseList;8;22341;22133;22591;5055
RandomCoarseList;8;21340;21451;21687;4968
RandomCoarseList;8;22854;23164;22784;5008
RandomCoarseList;8;21135;21010;21279;5061
RandomCoarseList;8;19519;19393;19492;5064
RandomCoarseList;8;20887;20925;20724;4984
RandomCoarseList;8;21024;20949;20772;5015
RandomCoarseList;8;21078;20903;21048;4975
RandomCoarseList;8;21002;20763;21038;5016
RandomCoarseList;8;20835;20361;20439;5052
RandomCoarseList;8;19966;20171;20146;4982
RandomCoarseList;8;20167;19978;19967;5050
RandomCoarseList;8;20857;20983;21063;4953
RandomCoarseList;8;20890;21159;20910;4889
RandomCoarseList;8;20147;20375;20382;4958
RandomCoarseList;8;20171;20236;20206;4917
RandomCoarseList;8;20121;20226;20307;4937
RandomCoarseList;8;20759;20428;20859;5079
RandomCoarseList;8;20728;20679;21008;5018
RandomCoarseList;8;20630;20239;20374;5143
RandomCoarseList;8;20621;20442;20543;5060
RandomCoarseList;8;20851;20663;20832;5012
RandomCoarseList;8;20520;20463;20866;4910
RandomCoarseList;8;20701;20691;20983;4931
RandomCoarseList;8;20202;20099;20046;5001
RandomCoarseList;8;19964;20189;19891;4960
RandomCoarseList;8;20830;20938;20704;4982
RandomCoarseList;8;21002;21431;21322;4960
RandomCoarseList;8;20315;20546;20677;4936
RandomCoarseList;8;21050;21312;20979;4889
RandomCoarseList;8;21115;20795;20771;4987
RandomCoarseList;8;20930;20868;20857;4948
RandomCoarseList;8;20466;20435;20608;4959
RandomCoarseList;8;21493;21484;21299;4965
RandomCoarseList;8;20588;20430;20443;4993
RandomCoarseList;8;20479;20438;20735;5056
RandomCoarseList;8;20368;20574;20560;5033
RandomCoarseList;8;20619;20650;20760;5040
RandomCoarseList;8;20506;20581;20641;5050
RandomCoarseList;8;20289;20530;20529;4998
RandomCoarseList;8;21103;21154;21226;4935
RandomCoarseList;8;20503;20530;20449;4987
RandomCoarseList;8;20061;20157;20225;4920
RandomCoarseList;8;20387;20475;20620;4967
RandomCoarseList;8;20198;20175;20035;4954
RandomCoarseList;8;20762;20654;20700;5006
RandomCoarseList;8;19734;19565;19854;5000
RandomCoarseList;8;28149;28224;28478;4986
RandomCoarseList;8;22925;23263;22688;4906
RandomCoarseList;8;21869;21713;21922;5027
RandomCoarseList;8;21760;21744;21711;5032
RandomCoarseList;8;19954;20168;19720;5012
RandomCoarseList (Mean);8;20588;20599;20629;4904
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;10;0;0;0;0
RandomCoarseList;10;25656;25982;25483;4924
RandomCoarseList;10;18230;17887;18100;5068
RandomCoarseList;10;19154;19235;19148;4923
RandomCoarseList;10;19417;19153;19346;5025
RandomCoarseList;10;23191;23557;23621;4988
RandomCoarseList;10;23544;23419;23575;5043
RandomCoarseList;10;20832;20747;20848;5058
RandomCoarseList;10;20500;20521;20501;4913
RandomCoarseList;10;21774;21829;22195;5036
RandomCoarseList;10;20770;20402;20303;4939
RandomCoarseList;10;21608;21627;21222;4914
RandomCoarseList;10;20050;20107;19906;4968
RandomCoarseList;10;20361;20119;20179;4998
RandomCoarseList;10;20391;20159;20129;4996
RandomCoarseList;10;19978;20199;20085;4927
RandomCoarseList;10;19528;19352;19458;5030
RandomCoarseList;10;20353;20749;20391;4971
RandomCoarseList;10;20659;20439;20771;4932
RandomCoarseList;10;20455;20333;20558;5062
RandomCoarseList;10;19746;19796;20137;5032
RandomCoarseList;10;19929;20034;20067;4960
RandomCoarseList;10;20354;20310;20068;4972
RandomCoarseList;10;20512;20288;20298;5044
RandomCoarseList;10;20114;20185;20146;4963
RandomCoarseList;10;20700;20561;20739;5079
RandomCoarseList;10;19992;19972;19954;4990
RandomCoarseList;10;20009;19900;20188;5043
RandomCoarseList;10;20726;20813;20966;4963
RandomCoarseList;10;20813;20939;20997;4975
RandomCoarseList;10;21170;21381;21201;4915
RandomCoarseList;10;19764;19794;20139;5004
RandomCoarseList;10;20167;19947;19967;5120
RandomCoarseList;10;19951;20064;20331;4928
RandomCoarseList;10;20795;20906;20800;5034
RandomCoarseList;10;20843;20971;20814;5023
RandomCoarseList;10;20138;20003;20097;5002
RandomCoarseList;10;20372;20719;20495;5003
RandomCoarseList;10;20321;20611;20136;5026
RandomCoarseList;10;19490;20032;19711;4955
RandomCoarseList;10;20304;20508;20477;5017
RandomCoarseList;10;20594;20789;20680;4923
RandomCoarseList;10;20202;20282;20582;4982
RandomCoarseList;10;20739;21148;20634;4947
RandomCoarseList;10;20213;20017;20315;5029
RandomCoarseList;10;19952;19640;19653;5061
RandomCoarseList;10;20170;20178;20209;5043
RandomCoarseList;10;20624;20389;20354;5052
RandomCoarseList;10;20810;20541;20789;5046
RandomCoarseList;10;20167;19811;20080;5018
RandomCoarseList;10;20561;20261;20252;5055
RandomCoarseList;10;20473;20401;20097;5061
RandomCoarseList;10;19914;19880;20190;4984
RandomCoarseList;10;25649;25751;25822;5025
RandomCoarseList;10;21683;21360;21542;5058
RandomCoarseList;10;21841;21865;21924;5004
RandomCoarseList;10;20887;21040;20832;4963
RandomCoarseList;10;19976;19996;19650;5049
RandomCoarseList (Mean);10;20295;20291;20295;4914
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;12;0;0;0;0
RandomCoarseList;12;25857;26154;25930;4962
RandomCoarseList;12;18329;18104;18282;5140
RandomCoarseList;12;18415;18391;18449;5086
RandomCoarseList;12;18946;18834;19070;5053
RandomCoarseList;12;26899;26999;27118;5005
RandomCoarseList;12;21946;21838;21908;5100
RandomCoarseList;12;21780;21826;22200;4985
RandomCoarseList;12;23813;23793;23895;5020
RandomCoarseList;12;21882;21773;21662;5009
RandomCoarseList;12;21467;21697;21273;4990
RandomCoarseList;12;20374;20160;20348;5099
RandomCoarseList;12;19997;19976;20317;4990
RandomCoarseList;12;20506;20375;20541;4962
RandomCoarseList;12;19530;19685;19475;4963
RandomCoarseList;12;20586;20720;20578;5000
RandomCoarseList;12;21208;21022;21369;4919
RandomCoarseList;12;20831;20759;20911;5043
RandomCoarseList;12;21265;21274;21183;4961
RandomCoarseList;12;20754;20691;20586;4958
RandomCoarseList;12;20329;20329;20358;4943
RandomCoarseList;12;20790;20710;20905;5079
RandomCoarseList;12;20706;21154;20950;5005
RandomCoarseList;12;21341;21502;21648;4912
RandomCoarseList;12;21639;21329;21538;4987
RandomCoarseList;12;20644;20396;20699;5058
RandomCoarseList;12;21540;21812;21761;4972
RandomCoarseList;12;21041;20579;20744;5079
RandomCoarseList;12;19671;19644;19693;4963
RandomCoarseList;12;20990;20887;21050;5031
RandomCoarseList;12;20640;20498;20545;5082
RandomCoarseList;12;20110;20102;19929;4992
RandomCoarseList;12;21530;21425;21084;4935
RandomCoarseList;12;21316;21196;21156;4982
RandomCoarseList;12;21340;21315;21234;5025
RandomCoarseList;12;20803;20553;20694;5011
RandomCoarseList;12;20794;20675;20510;4979
RandomCoarseList;12;20178;19988;20398;5010
RandomCoarseList;12;21540;22064;21958;4968
RandomCoarseList;12;21514;21276;21489;5040
RandomCoarseList;12;20164;20123;19997;4927
RandomCoarseList;12;20214;19800;19899;5060
RandomCoarseList;12;19865;20012;19834;4985
RandomCoarseList;12;20598;20555;20936;5016
RandomCoarseList;12;21097;21324;21266;4937
RandomCoarseList;12;21064;21127;20885;5023
RandomCoarseList;12;21425;21725;21525;4895
RandomCoarseList;12;21030;21101;21370;4979
RandomCoarseList;12;20556;20541;20768;5006
RandomCoarseList;12;21015;21016;21095;5053
RandomCoarseList;12;20570;20379;20730;5058
RandomCoarseList;12;20348;20339;20174;4947
RandomCoarseList;12;28396;28707;28029;4984
RandomCoarseList;12;20082;20021;19928;4988
RandomCoarseList;12;21681;21619;21805;5072
RandomCoarseList;12;19806;19487;19654;5016
RandomCoarseList;12;22758;22688;22845;5026
RandomCoarseList;12;21228;21181;21557;5010
RandomCoarseList (Mean);12;20771;20745;20788;4918
Experiment;Threads;Add;Remove;Contains;Population
RandomCoarseList;14;0;0;0;0
RandomCoarseList;14;24697;24610;24953;4934
RandomCoarseList;14;18803;18424;18512;5058
RandomCoarseList;14;18032;18014;18031;4960
RandomCoarseList;14;18997;18725;19188;5041
RandomCoarseList;14;26633;26648;26619;5055
RandomCoarseList;14;21497;21485;21479;4989
RandomCoarseList;14;21673;21572;21403;5015
RandomCoarseList;14;19902;19901;19896;4917
RandomCoarseList;14;21541;21627;21656;4929
RandomCoarseList;14;19978;19674;19639;4991
